index,X,Y,Z,val,feature_name,strike,dip
325,1627762.5996479047,5304755.186571203,0.0,,Hope fault,65.0,70.0
326,1610121.828276534,5295670.083427972,0.0,,Hope fault,65.0,70.0
327,1603048.5778107028,5292302.877367895,0.0,,Hope fault,70.0,70.0
328,1597330.6807275463,5290269.847293886,0.0,,Hope fault,70.0,70.0
329,1585304.5666308892,5286479.093301713,0.0,,Hope fault,64.0,90.0
330,1575634.4196680218,5285975.548761497,0.0,,Hope fault,64.0,90.0
331,1559846.6887379645,5283974.866153264,0.0,,Hope fault,64.0,90.0
332,1543497.738559453,5281814.771699627,0.0,,Hope fault,69.0,90.0
333,1528758.270522872,5276054.519823268,0.0,,Hope fault,65.0,90.0
334,1509444.4848197645,5268981.269357455,0.0,,Hope fault,65.0,90.0
337,1522032.7560073258,5281410.038266693,0.0,,Clarence Fault,80.0,90.0
338,1495021.9537689094,5276247.363129588,0.0,,Clarence Fault,85.0,90.0
339,1465498.518764129,5251984.752979538,0.0,,Hope fault,60.0,90.0
